artist,artist_ids
Rage Against The Machine,2d0hyoQ5ynDBnkvAbJKORj
Tori Amos,1KsASRNugxU85T0u6zSg32
Daryl Hall & John Oates,77tT1kLj6mCWtFNqiOmP9H
Frog Eyes,65iXZl2W8M8616GC3jfeeH
Lambchop,2Lhs0asnFQiLuntn3s8p78
Death Cab For Cutie,0YrtvWJMgSdVrk3SfNjTbx
Natalie Imbruglia,0dlOr0VIysztGWvU1dpjmP
Modest Mouse,1yAwtBaoHLEDWAnWR87hBT
Built to Spill,3kbBWco9PZ5eSQsNScwG6U
Incubus,3YcBF2ttyueytpXtEzn1Za
LeAnn Rimes,2d3VHzlOEwXvmBdS4pzOPL
Pearl Jam,1w5Kfo2jwwIPruYS2UWh56
The Psychedelic Furs,0O0lrN34wrcuBenkqlEDZe
Boards of Canada,2VAvhf61GgLYmC6C8anyX1
*NSYNC,6Ff53KvcvAj5U7Z1vojB5o
William Hung,3bU97PoqnxjKD45CrfwmC9
Patti Smith,0vYkHhJ48Bs3jWcvZXvOrP
Crash Test Dummies,1YEGETLT2p8k97LIo3deHL
M. Ward,6nXSnNEdLuKTzAQozRtqiI
Monica,6nzxy2wXs6tLgzEtqOkEi2
The Raveonettes,3LTXHU3DhiYzGIgF2PP8Q8
Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ
Manic Street Preachers,2uH0RyPcX7fnCcT90HFDQX
Eve 6,4Eqd24yS5YcxI8b6Xfuwr8
Ben Folds,55tif8708yyDQlSjh3Trdu
Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY
Cypress Hill,4P0dddbxPil35MNN9G2MEX
The Ataris,3LC8PXXgk7YtAIobtjSdNi
Ben Folds Five,44gRHbEm4Uqa0ykW0rDTNk
Macy Gray,4ylR3zwA0zaapAu94fktwa
Uncle Tupelo,2Plkkomsc4DKawkCioLKjc
The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK
New Kids On The Block,55qiaow2sDYtjqu1mwRua6
System of a Down,5eAWCfyUhZtHHtBdNk56l1
Sahara Hotnights,2VPvWVAiP9GICmwh4bLUuE
UGK,6ZhjJOJXXwnPS8PrXdmjLw
Elliott Smith,2ApaG60P4r0yhBoDCGD8YG
Bob Dylan,74ASZWbe4lXaubB36ztrGX
The Dillinger Escape Plan,7IGcjaMGAtsvKBLQX26W4i
Pretty Girls Make Graves,3okeQxv9lGt59TGlLikfzN
Minor Poet,4FRMMswMXEkpMZNMacFjEW
Vashti Bunyan,4chuPfKtATDZvbRLExsTp2
Flying Saucer Attack,336fB3AJgK8AvHX5bD8d9A
Venetian Snares,7eKIP3IoPoUAZgZuvMM6hf
John Hiatt,4Sld5LOPbAm1QSq9U32fFV
Superchunk,7lmde7T1WJPFwv1eR6melP
Ibibio Sound Machine,4J6CnIqPEtWYn3la2YYj2c
Will Smith,41qil2VaGbD194gaEcmmyx
Whitney Houston,6XpaIBNiVzIetEPCWDvAFP
Simon & Garfunkel,70cRZdQywnSFp9pnc2WTCE
A Hawk and a Hacksaw,6ErV6lPlwldDFGzb26sKua
Angels of Light,45KTYxYRDjlP4cAd2imJif
Clearlake,6HWZov029BEIi66Yf6ewNy
Gillian Welch,2H5elA2mJKrHmqkN9GSfkz
Alkaline Trio,1aEYCT7t18aM3VvM6y8oVR
Coachwhips,1ubsCjea2yzGyHQEPol3Y5
Ugly Heroes,1GGdfRdXwJd2Xm5oRFphMd
Jamiroquai,6J7biCazzYhU3gM9j1wfid
Bardo Pond,2ZHNwvYaMbD8zuObAXVHEr
Cradle of Filth,0NTSMFFapnyZfvmCwzcYPd
The Presidents of the United States of America,1lZvg4fNAqHoj6I9N8naBM
DeVotchKa,0hk8VgR64voU5ueK96W2DI
