Label,label_id
Epic,21
Paper Bag,1743
Merge,106
Barsuk,513
Sony,83
C/Z Records,5447
Epic Records / Immortal Records,8486
Curb,15287
CBS,3424
Skam,10837
Jive,785
Koch,1199
Columbia,103
BMG / Arista,10750
Arista,502
RCA,181
Portrait,6644
550 Music,2939
Rockville,5440
Domino,2
American,3625
Kill Rock Stars,33
Relapse,301
Matador,85
Sub Pop,40
Fat Cat Records,200
Philips,90
VHF,11815
Planet Mu,1821
Ruffhouse / Columbia / SME Records,5427
Vanguard,1472
L.M. Dupli-cation,21911
Young God Records,1504
Acony,1007
Asian Man,2705
Narnack Records,30848
"Sony Soho Square, Epic",10354
MUSICBLITZ Records,31036
Dago,5037
RCA / Latent,4396
Darla,1236
Grimsey Records,9083
"Star Trak, Arista",7395
Beggars Banquet Records,3650
Plug Research,2193
Paradox,21437
Roadrunner,606
"EMI, Columbia",3535
PeMa,29947
Columbia Records,3
Ruffhouse,14684
Drag City,75
Kranky,44
New West,233
Jive Records,8251
Granary Music / Yep Roc Records,30021
Epic Records,6563
Hydra Head Records,611
Deconstruction Records,9087
Velocette,11034
Sony UK,18900
"Rilo, Barsuk",11626
dBpm,1989
5 Rue Christine,1093
Ajax,11756
Absolutely Kosher,260
Aware / Columbia,30705
Dim Mak,2008
Mo' Wax,2615
Tiger Style,9706
Arista Records,5547
Relativity Records,8366
Saddle Creek,50
Merge Records,6
LaFace / Arista,2157
Hieroglyphics Imperium,9126
RJ's Electrical Connections,6482
Last Gang,1245
550,2940
Fire,2518
"Columbia, SME",3177
"Asylum, Atlantic",25962
Spitfire,5126
Barak Records,5734
E1,11330
BPitch Control,5096
Nettwerk,1636
Morr Music,1273
"Back Yard Recordings, Kill Rock Stars",2631
Young God,389
Captured Tracks,1348
Beggars Banquet,214
Xemu,6964
"Harvest, Columbia",3539
Napalm,3495
Restless / Enigma,6796
Alias,3641
Restless,2033
Fat Wreck Chords,1374
In The Red,184
2062,12245
Robotic Empire,6376
V2,410
Nuclear Blast,3653
Now-Again,19551
Dovecote,1280
"JDub, Epic",9089
SYR,20088
Ace Fu,355
Loud/Columbia/SME Records,1218
Stones Throw Records,11509
Lo Recordings,23273
Astralwerks,57
RCA Victor,4308
Virgin EMI,7165
Kuckuck,20265
PIAS,4181
Recital,5732
Emperor Jones,3045
Thrill Jockey,86
Temporary Whatever,15317
Stones Throw,336
J-Records,1022
Razor Sharp Records,4510
Hansa,10321
Metal Blade Records,5485
Seeland,13019
SST,3760
Spitfire Records,5125
LaFace,3693
Global Symphonic,1301
Touch & Go,798
Chapter One Entertainment,19380
Entertainment One,2545
Rough Trade,71
Projekt,17424
4AD,36
Aurora,4820
"Ill Will, Columbia",4961
Coyote,13142
Touch and Go,3082
YELLOWELECTRIC,25091
Ashmont,1377
Roc-a-Fella,4781
Flameshovel,6528
Polyvinyl,312
BMG International,16631
Sony BMG,118
Alternative Tentacles,3683
Sonig Records,15419
Yep Roc / Simian,476
M3 Macmil Music,11571
BMG,4262
Morr,3658
In the Red,1308
SuperEgo,2956
Animal World,1300
Neurot,3680
Backwoodz Studioz,3365
Slumberland Records,11
"Cicero Recordings, Ltd.",5035
Thirsty Ear,5891
"Tinker, Scratch",7663
OM,20416
Ghostly International,1475
Thirty Tigers,1
Magic Bullet Records,7147
Deltasonic,1603
Duck Down,3130
Cult / French Kiss,29982
"Interscope, XL",294
The Militia Group,7648
"We The Best, Epic",25313
